state,total_pop,white_pop,total_pop2,non_hispanic_pop,hispanic_pop,non_hispanic_white_pop,state_code,year,ideo_vector,ideo_mean
Idaho,1839106,1510360,1839106,1599699,239407,1450523,16,2020,"[0.638, 0.29600000000000004, 0.502, 0.585]",0.50525
Illinois,12830632,9177877,12830632,10803054,2027578,8167753,17,2010,"[-0.317, 0.274, 0.264, -0.227, -0.155, 0.429, -0.38, -0.23, -0.183, 0.311, -0.322, -0.479, -0.487, 0.51, -0.5379999999999999, -0.486, 0.375, -0.606, 0.32299999999999995, -0.348, 0.274, -0.468]",-0.11209090909090907
Illinois,12812508,7868227,12812508,10475098,2337410,7472751,17,2020,"[-0.23, -0.322, 0.263, -0.17800000000000002, 0.271, -0.238, -0.46, 0.273, 0.465, -0.317, -0.413, -0.444, -0.551, 0.768, -0.643, -0.479, -0.486, -0.606, -0.348, -0.335]",-0.20049999999999998
Illinois,12419293,9125471,12419293,10889031,1530262,8424140,17,2000,"[0.7390000000000001, 0.312, 0.217, -0.454, -0.17600000000000002, 0.443, -0.317, 0.361, -0.479, -0.487, 0.51, 0.28800000000000003, 0.246, -0.5379999999999999, -0.317, -0.486, 0.375, -0.606, 0.32299999999999995, -0.207, -0.348, 0.28]",-0.014590909090909078
Indiana,6785528,5241795,6785528,6231337,554191,5121004,18,2020,"[-0.431, 0.408, 0.4270000000000001, 0.64, 0.414, 0.443, 0.487, -0.35, 0.433, 0.464, 0.8]",0.3395454545454546
Indiana,6080485,5320022,6080485,5865949,214536,5219373,18,2000,"[0.585, -0.402, -0.165, 0.435, 0.5760000000000001, 0.435, 0.705, 0.413, -0.464, -0.121, 0.304, -0.158]",0.17858333333333332
Indiana,6483802,5467906,6483802,6094095,389707,5286453,18,2010,"[0.585, -0.402, 0.655, -0.119, -0.106, -0.431, 0.742, 0.435, 0.435, -0.121, 0.304, -0.158]",0.15158333333333335
Iowa,3190369,2694521,3190369,2974383,215986,2638201,19,2020,"[-0.242, 0.443, 0.411, 0.272, 0.348, 0.539]",0.29516666666666663
Iowa,2926324,2748640,2926324,2843851,82473,2710344,19,2000,"[0.141, 0.417, 0.239, 0.302, -0.238, 0.348, -0.35100000000000003]",0.12257142857142858
Iowa,3046355,2781561,3046355,2894811,151544,2701123,19,2010,"[0.613, -0.31, -0.276, 0.302, -0.238, 0.348, -0.35100000000000003]",0.012571428571428558
Kansas,2937880,2222462,2937880,2555277,382603,2122575,20,2020,"[0.617, -0.253, 0.512, 0.693, 0.5529999999999999, 0.415]",0.42283333333333334
Kansas,2688418,2313944,2688418,2500166,188252,2233997,20,2000,"[0.449, 0.415, 0.547, -0.267, 0.413, 0.439]",0.3326666666666667
Kansas,2853118,2391044,2853118,2553076,300042,2230539,20,2010,"[0.523, 0.449, 0.415, -0.267, 0.413, 0.439]",0.3286666666666667
Kentucky,4041769,3640889,4041769,3981830,59939,3608013,21,2000,"[0.338, 0.418, 0.303, 0.335, -0.058, 0.285, 0.404, 0.521]",0.31825000000000003
Kentucky,4339367,3809537,4339367,4206531,132836,3745655,21,2010,"[0.338, -0.232, 0.398, -0.378, 0.42, 0.303, 0.404, 0.521]",0.22175000000000003
Kentucky,4505836,3711254,4505836,4297982,207854,3664764,21,2020,"[0.338, -0.378, 0.42, 0.486, 0.599, 0.679, 0.404, 0.88]",0.4285
Louisiana,4533372,2836192,4533372,4340812,192560,2734884,22,2010,"[-0.17800000000000002, 0.392, 0.5579999999999999, 0.133, 0.59, 0.457, 0.331, 0.495, -0.203]",0.28611111111111115
Louisiana,4657757,2657652,4657757,4335208,322549,2596702,22,2020,"[0.5579999999999999, -0.486, 0.454, 0.5870000000000001, 0.561, 0.416, -0.287, 0.457, 0.603]",0.3181111111111112
Louisiana,4468976,2856161,4468976,4361238,107738,2794391,22,2000,"[0.326, 0.423, 0.362, -0.424, 0.334, -0.12, 0.495, 0.341, -0.123, -0.203]",0.1411
Maine,1328361,1264971,1328361,1311426,16935,1254297,23,2010,"[-0.28300000000000003, -0.42, 0.091, 0.115]",-0.12425000000000003
Maine,1362359,1237041,1362359,1335750,26609,1228264,23,2020,"[-0.42, -0.11, -0.158, 0.115]",-0.14325000000000002
Maine,1274923,1236014,1274923,1265563,9360,1230297,23,2000,"[-0.333, -0.4, 0.091, 0.115]",-0.13175000000000003
Maryland,5773552,3359284,5773552,5302920,470632,3157958,24,2010,"[-0.38, -0.295, -0.391, -0.467, -0.562, -0.037000000000000005, 0.493, -0.438, -0.37, -0.319]",-0.2766
Maryland,5296486,3391308,5296486,5068570,227916,3286547,24,2000,"[-0.38, -0.319, -0.018000000000000002, 0.204, -0.38, 0.493, 0.36, -0.438, -0.435, -0.37]",-0.12830000000000003
Maryland,6177224,3007874,6177224,5447479,729745,2913782,24,2020,"[-0.38, -0.448, -0.295, -0.467, 0.6629999999999999, -0.337, -0.5429999999999999, -0.277, -0.319, -0.391]",-0.2794
Massachusetts,6349097,5367286,6349097,5920368,428729,5198359,25,2000,"[-0.418, -0.513, -0.499, -0.417, -0.5770000000000001, -0.39, -0.539, -0.488, -0.495, -0.58, -0.443, -0.35200000000000004]",-0.4759166666666667
Massachusetts,7029917,4896037,7029917,6142232,887685,4748897,25,2020,"[-0.417, -0.35, -0.328, -0.484, -0.284, -0.309, -0.464, -0.306, -0.539, -0.513, -0.757]",-0.43190909090909096
Massachusetts,6547629,5265236,6547629,5919975,627654,4984800,25,2010,"[-0.513, -0.499, -0.417, -0.35, -0.396, -0.5770000000000001, -0.539, -0.488, -0.495, -0.58, -0.443, -0.35200000000000004, -0.517, 0.128]",-0.43128571428571433
Michigan,9938444,7966053,9938444,9614567,323877,7806691,26,2000,"[-0.448, -0.6579999999999999, -0.547, -0.385, -0.379, 0.33, 0.385, -0.396, 0.516, 0.316, -0.184, 0.505, 0.366, -0.383, -0.342, -0.491, -0.395, 0.311]",-0.10438888888888892
Michigan,10077331,7444974,10077331,9512909,564422,7295651,26,2020,"[0.33, 0.514, 0.573, -0.395, 0.398, -0.408, -0.448, 0.438, -0.521, -0.306, -0.33, -0.25, 0.484, 0.25, -0.246, -0.342]",-0.016187500000000004
Michigan,9883640,7803120,9883640,9447282,436358,7569939,26,2010,"[-0.448, -0.6579999999999999, -0.385, -0.379, 0.33, 0.4, 0.343, 0.335, -0.233, -0.246, 0.385, -0.396, 0.516, 0.316, -0.491, -0.395, -0.342]",-0.07929411764705882
Minnesota,4919479,4400282,4919479,4776097,143382,4337143,27,2000,"[-0.5529999999999999, -0.472, -0.516, 0.316, -0.14800000000000002, -0.213, 0.552, -0.306, 0.506, -0.583]",-0.1417
Minnesota,5706494,4423146,5706494,5360854,345640,4353880,27,2020,"[-0.417, 0.452, -0.315, 0.472, -0.285, -0.255, 0.303, 0.515, -0.285, -0.398]",-0.021299999999999996
Minnesota,5303925,4524062,5303925,5053667,250258,4405142,27,2010,"[-0.5529999999999999, -0.417, 0.49, -0.275, -0.537, 0.584, 0.402, -0.14800000000000002, -0.285, -0.399]",-0.11380000000000001
Mississippi,2844658,1746099,2844658,2805089,39569,1727908,28,2000,"[-0.045, -0.516, 0.379, 0.342, -0.092, 0.287, 0.39]",0.10642857142857143
Mississippi,2961279,1658893,2961279,2856059,105220,1639077,28,2020,"[0.5329999999999999, 0.638, 0.512, -0.516, 0.379, 0.417]",0.32716666666666666
Mississippi,2967297,1754684,2967297,2885816,81481,1722287,28,2010,"[-0.045, -0.011, 0.384, -0.516, 0.287, 0.379]",0.07966666666666666
Missouri,6154913,4740335,6154913,5851845,303068,4663907,29,2020,"[0.444, -0.453, 0.439, 0.463, 0.546, 0.433, 0.596, -0.239, 0.415, 0.711]",0.3355
Missouri,5988927,4958770,5988927,5776457,212470,4850748,29,2010,"[-0.172, 0.612, 0.444, -0.481, -0.34700000000000003, -0.453, 0.439, 0.415, 0.269, 0.31, -0.14300000000000002]",0.08118181818181819
Missouri,5595211,4748083,5595211,5476619,118592,4686474,29,2000,"[-0.49, -0.416, -0.172, 0.364, -0.18600000000000005, -0.344, 0.415, 0.269, 0.363, 0.31, 0.536]",0.059000000000000004
Montana,989415,884961,989415,960850,28565,868628,30,2010,"[0.337, -0.212, -0.215]",-0.02999999999999999
Montana,1084225,916524,1084225,1039026,45199,901318,30,2020,"[0.7390000000000001, 0.5710000000000001, -0.215]",0.365
Montana,902195,817229,902195,884114,18081,807823,30,2000,"[0.424, -0.212, 0.361]",0.19099999999999998
Nebraska,1826341,1572838,1826341,1658936,167405,1499753,31,2010,"[0.303, 0.517, 0.426, -0.03, 0.391]",0.3214
Nebraska,1711263,1533261,1711263,1616838,94425,1494494,31,2000,"[0.231, 0.379, 0.426, -0.223, 0.344]",0.2314
Nebraska,1961504,1538052,1961504,1726789,234715,1484687,31,2020,"[0.303, 0.517, 0.38, 0.452, 0.716]",0.4736000000000001
Nevada,2700551,1786688,2700551,1984050,716501,1462081,32,2010,"[0.463, -0.303, -0.302, -0.276, 0.508]",0.018000000000000006
Nevada,1998257,1501886,1998257,1604287,393970,1303001,32,2000,"[0.484, -0.302, -0.276, -0.241]",-0.08375
Nevada,3104614,1588463,3104614,2214357,890257,1425952,32,2020,"[-0.303, 0.379, -0.35100000000000003, -0.29600000000000004, -0.285, -0.3670000000000001]",-0.2038333333333334
New Hampshire,1235786,1186851,1235786,1215297,20489,1175252,33,2000,"[0.331, 0.473, 0.429, 0.623]",0.464
New Hampshire,1316470,1236050,1316470,1279766,36704,1215050,33,2010,"[-0.315, -0.256, 0.429, -0.237]",-0.09474999999999999
New Hampshire,1377529,1216203,1377529,1318075,59454,1200649,33,2020,"[-0.256, -0.28800000000000003, -0.237, -0.23]",-0.25275000000000003
New Jersey,8414350,6104705,8414350,7297159,1117191,5557209,34,2000,"[0.162, 0.166, 0.238, -0.404, -0.5920000000000001, -0.297, 0.259, -0.3670000000000001, 0.211, 0.292, -0.366, -0.35200000000000004, -0.463, -0.382, -0.262]",-0.14380000000000004
New Jersey,8791894,6029248,8791894,7236750,1555144,5214878,34,2010,"[0.166, -0.404, -0.5920000000000001, 0.688, -0.403, -0.114, 0.329, -0.297, 0.211, 0.292, -0.366, -0.35200000000000004, -0.463, -0.382, -0.3670000000000001]",-0.13693333333333335
